date,portfolio_return,long_count,short_count,long_mean_pred,short_mean_pred,total_stocks,long_permnos,short_permnos
2021-07-31,0.09902585408799999,50,50,0.023356039155278153,-0.027448340211158356,1038,"81540,92043,16816,88421,13046,72726,91277,49656,85753,27888,70033,14229,20765,20415,90925,79338,27983,35554,90303,90248,71175,83883,70519,16738,13908,19286,92602,14179,75186,18267,87055,91392,60599,92221,15850,79859,91413,64282,13105,42585,12641,69649,86868,90071,64390,76591,76841,60687,86004,14521","17038,18135,16655,39490,18815,19200,15534,93263,17315,14608,90177,18100,19177,14176,19084,18908,80069,14054,16068,16140,18137,82670,12307,18456,18769,15067,93436,18572,15198,18835,16964,82779,15222,19358,17799,17948,19032,18214,17977,19338,15585,18203,87337,18567,18961,14328,18580,17907,89301,18937"
2021-08-31,0.010350928923999995,50,50,0.023740103117428853,-0.02535591736196674,1048,"81540,16816,92043,91277,70033,25081,13046,88421,14328,49656,91437,70519,12641,72726,85753,60599,16119,66325,90925,92293,20765,27633,71175,90248,19286,90303,85908,76839,27983,20415,16499,16505,75186,83916,25785,78829,82486,13323,12369,93150,15850,60687,13105,14229,18649,77274,86004,19393,42585,69649","14608,14516,19177,16655,19084,84788,16382,16064,18327,18135,18769,14176,18908,19409,18456,19404,15643,93436,93263,80069,15198,16140,18368,17948,17907,16068,82779,82670,18572,18815,14054,15067,18835,19408,87337,18203,17799,19032,18214,12307,19358,18100,17977,16964,19338,15585,18580,18961,18937,89301"
2021-09-30,0.035351643785999996,50,50,0.022002102983941882,-0.02610171373430926,1051,"16816,91277,15315,14601,13046,91437,14179,14574,71175,16347,76591,90303,14229,14503,52337,12641,77274,25785,77606,21371,91575,60599,14944,15069,27983,64282,32803,92043,18267,13105,16119,16505,13936,81696,88343,17864,42585,16678,84129,14988,27633,59248,89215,77178,75603,66325,79299,89900,77520,92121","15643,14882,18770,87337,17812,18787,17787,10107,15534,18769,15585,19200,16140,82670,15198,93436,14054,84788,19565,18456,15222,14176,17948,18368,19404,18453,15067,18135,18835,18572,19408,18815,17907,19358,18214,19032,18580,18203,17799,17977,19497,16964,14328,18567,18961,12307,19338,14813,92213,89301"
2021-10-31,-0.015584777508000004,50,50,0.02517155583323646,-0.028439655012667413,1052,"92043,17133,15315,70519,88343,16816,91437,13046,91277,81696,88421,90303,86868,90248,49656,85753,17342,52337,18312,13244,72726,27983,75607,79299,17864,77274,90925,92293,60599,76839,14574,15623,25785,16678,89781,14229,19286,91983,20765,67847,60687,18267,19393,21371,92108,16347,16505,21207,38850,59248","18484,15534,80563,18137,19404,19081,19433,82670,15643,78664,19177,14580,19578,12360,15198,14176,18453,15067,19358,18769,14882,18456,87337,90601,17948,18100,15222,15585,19032,18135,19605,18770,18572,14054,19497,86211,18580,17977,18214,17799,18815,18835,18368,18937,18203,16964,12307,89301,19599,18777"
2021-11-30,0.12478364790999999,50,50,0.02408145658271163,-0.028072464115694754,1055,"16816,15315,92043,70519,17133,91277,49656,86868,77274,89297,81696,92293,15069,14574,19393,60599,78170,90248,75607,28345,91437,19752,19746,79338,14988,79299,18267,16119,89916,89540,72726,62341,14944,21371,27828,17864,20415,38850,92257,16678,10138,15623,79859,52337,18312,16966,13862,90303,11343,12641","15092,19794,14245,19654,19565,86211,19578,87337,82670,18808,18769,76644,19177,16064,17787,18135,27422,12360,17684,18770,14054,15067,18835,15222,19358,17977,18572,17949,19605,19032,17799,18100,17948,18937,18580,89394,18214,19788,18368,18815,18453,19497,18203,16964,19599,18777,12307,19338,89301,14813"
2021-12-31,0.139110985796,50,50,0.023359475606847625,-0.029828719596991692,1064,"17133,13046,92043,60687,49373,12036,19857,70519,60599,86868,50017,49656,75607,14229,20765,17864,18150,81061,18267,13908,21371,16505,81696,89297,15623,38850,19807,90303,79299,27828,13625,42585,70092,14574,28345,81540,14179,14076,92602,77274,17342,54148,15707,75854,92257,91575,71175,19413,11343,76614","15585,19578,14436,16064,15198,19358,14782,19751,19433,84788,57817,18576,14882,18769,16932,19032,15067,18135,93436,14245,19605,16140,18940,19058,17799,19356,86211,17948,18100,87337,18214,18835,18572,18368,17977,18937,18815,18580,18453,18203,18777,18961,19788,14328,16964,18184,19599,92213,89301,14813"
2022-01-31,0.13154714625199998,50,50,0.024059113352034464,-0.021359634201517288,1080,"16816,92043,60687,70519,43350,82779,49656,76839,81696,86868,14574,20181,11343,21371,89781,92257,27983,15623,90303,54148,60599,91090,27828,76614,64282,13908,14229,86047,18150,72726,19807,79299,90248,18267,93132,84385,38850,75607,10138,83011,71175,85753,56223,76744,38703,17864,81540,10104,16678,16505","14436,18138,15534,84788,18908,12927,26403,90505,17125,18135,18576,16140,16064,14882,16649,16595,18456,18485,90177,19358,14245,16386,15585,19228,17799,19788,16932,19455,18580,18835,19058,18203,19356,18572,19578,93263,18769,19605,15067,18940,19599,18214,18368,18937,14432,18777,16964,18100,14328,89301"
2022-02-28,-0.02554901448,50,50,0.022887463910601084,-0.016901063692552593,1092,"70519,92043,15318,89826,60687,91855,92257,13908,92502,86868,19807,76591,91437,76839,90303,49656,15302,18267,91090,77178,28345,60599,79879,71175,15623,86799,14229,27828,85753,38850,56223,15729,11343,76614,17864,79299,18150,61241,14574,75607,13600,17342,81696,14076,93132,16505,16816,19393,89781,46578","16595,90177,14944,19228,14882,84788,16382,26403,90505,14245,19746,14054,14136,18908,19084,18135,44329,20195,27422,18576,19032,16649,15534,18835,16932,19578,18456,18580,16140,93263,19358,86211,18572,18100,18940,19788,19605,17799,14432,15585,15067,16064,18368,19751,19455,19547,18937,18777,14328,89301"
2022-03-31,-0.030227362612000007,50,50,0.022757507874767734,-0.015192085459624688,1093,"76839,92043,60687,93272,91437,76591,85753,75607,11343,92257,85002,70519,90303,81696,60599,17342,90248,14776,49373,77274,86868,76744,15302,90071,16816,89781,14229,77178,13600,71175,20765,88319,27828,79299,90436,11995,15729,75603,56223,19433,79879,15623,46578,50876,16386,17864,15315,19393,18453,84385","84788,93436,87337,14608,26403,19578,14245,90776,12927,18141,25487,19751,89533,18576,18135,19605,13169,90870,18138,19654,19084,17949,17778,18456,15585,19788,19058,16064,15534,19599,20391,16649,18909,86211,90505,20339,19746,18368,19455,18940,17799,18835,18937,18214,20345,80926,19547,15067,17104,18777"
2022-04-30,0.13440597193800002,50,50,0.023829328701188292,-0.01851034019022864,1088,"70519,92043,19433,16386,11343,86868,92257,60687,14776,81696,91437,60599,14988,76591,90303,18312,12583,20765,49656,14229,27983,85753,21371,76839,71175,17342,19393,90248,86004,18267,20057,18150,77606,27828,90071,77274,15302,77178,76841,79879,15623,75607,76744,18100,15707,79859,90436,39490,20415,15850","89533,20391,63765,19358,18576,15585,20195,90505,20059,16140,93436,16649,19794,14328,86211,20471,15534,18135,19605,84788,93263,17949,18138,19058,18909,16064,90978,16595,18368,18456,19501,19455,89301,17799,19084,19654,19788,18940,19404,18937,19746,20196,20345,17977,18835,15067,19547,20339,17104,18777"
